row_id,Game Name,Discount,Price,Rating,Release Date
323,Nyan Cat: Lost In Space,-50%,"R$ 5,44",88.40%,Dec 2015
324,CONSCRIPT,-35%,"R$ 56,16",88.38%,Jul 2024
325,Lil' Guardsman,-30%,"R$ 41,99",88.31%,Jan 2024
326,X-Morph: Defense,-25%,"R$ 55,90",88.25%,Aug 2017
327,Renai Karichaimashita: Koikari - Love For Hire,-40%,"R$ 53,39",88.23%,Oct 2021
328,Tiny and Big: Grandpa's Leftovers,-85%,"R$ 5,77",88.15%,Jun 2012
329,Angry Video Game Nerd I & II Deluxe,-20%,"R$ 15,99",88.12%,Oct 2020
330,Svoboda 1945: Liberation,-72%,"R$ 8,67",88.11%,Aug 2021
331,Coloring Game: Pixel,-50%,"R$ 8,49",88.06%,Oct 2019
332,Sacred Fire: A Role Playing Game,-33%,"R$ 38,85",87.98%,Oct 2021
333,Irotoridori No Sekai HD - The Colorful World,-20%,"R$ 81,59",87.95%,Feb 2024
334,Templar Battleforce,-50%,"R$ 16,49",87.92%,Sep 2015
335,Cultivation Story: Reincarnation,-30%,"R$ 14,48",87.92%,Jan 2023
336,Regency Solitaire II,-32%,"R$ 31,95",87.89%,Feb 2024
337,Heroines of Swords & Spells,-50%,"R$ 11,75",87.84%,Mar 2020
338,The House of Da Vinci 2,-60%,"R$ 23,99",87.81%,May 2020
339,Enigmatis 3: The Shadow of Karkhala,-70%,"R$ 14,09",87.76%,Aug 2016
340,Knights Within,-35%,"R$ 35,74",87.73%,May 2024
341,Little Mouse's Encyclopedia,-75%,"R$ 2,72",87.71%,Feb 2019
342,100 hidden snails 2,-80%,"R$ 2,09",87.69%,Feb 2021
343,Ethereal Enigma,-75%,"R$ 14,99",87.66%,Aug 2020
344,OPUS: Rocket of Whispers,-50%,"R$ 23,49",87.66%,Feb 2018
345,Tom Clancy's Rainbow Six® 3 Gold,-75%,"R$ 7,49",87.65%,Mar 2003
346,纯爱独白：小小 Purelove Monologue: Xiaoxiao,-30%,"R$ 11,89",87.65%,Mar 2024
347,A Juggler's Tale,-80%,"R$ 10,99",87.62%,Sep 2021
348,Bad Dream: Coma,-75%,"R$ 7,49",87.62%,Mar 2017
349,World End Diner,-20%,"R$ 39,99",87.58%,Jun 2021
350,Sweet Shine,-26%,"R$ 14,57",87.51%,Aug 2021
351,LunarLux,-52%,"R$ 29,89",87.47%,Sep 2023
352,MEMOLOGY: GOYDA,-17%,"R$ 4,36",87.47%,May 2024
353,OXXO,-50%,"R$ 3,49",87.44%,Aug 2019
354,Grow Up,-75%,"R$ 7,49",87.43%,Aug 2016
355,Cats Everywhere,-20%,"R$ 2,79",87.43%,Feb 2024
356,Hero of the Kingdom: The Lost Tales 1,-80%,"R$ 4,70",87.40%,Apr 2020
357,Screencheat,-80%,"R$ 9,39",87.36%,Oct 2014
